idnodo|longitud|latitud|geom
270|-77.0348394|-12.126336|SRID=4326;POINT(-77.0348394 -12.126336)
271|-77.0348661|-12.1260219|SRID=4326;POINT(-77.0348661 -12.1260219)
272|-77.0348218|-12.1233372|SRID=4326;POINT(-77.0348218 -12.1233372)
273|-77.0348031|-12.1212233|SRID=4326;POINT(-77.0348031 -12.1212233)
274|-77.0348002|-12.120174|SRID=4326;POINT(-77.0348002 -12.120174)
275|-77.0347728|-12.1191219|SRID=4326;POINT(-77.0347728 -12.1191219)
276|-77.0338377|-12.1238397|SRID=4326;POINT(-77.0338377 -12.1238397)
277|-77.0337059|-12.1238696|SRID=4326;POINT(-77.0337059 -12.1238696)
278|-77.0331255|-12.1243455|SRID=4326;POINT(-77.0331255 -12.1243455)
279|-77.033791|-12.1233315|SRID=4326;POINT(-77.033791 -12.1233315)
738|-77.018932|-12.1267763|SRID=4326;POINT(-77.018932 -12.1267763)
1067|-77.0067082|-12.1228227|SRID=4326;POINT(-77.0067082 -12.1228227)
524|-77.0390106|-12.1189445|SRID=4326;POINT(-77.0390106 -12.1189445)
525|-77.0370562|-12.1189498|SRID=4326;POINT(-77.0370562 -12.1189498)
526|-77.0368943|-12.1189525|SRID=4326;POINT(-77.0368943 -12.1189525)
527|-77.0320012|-12.1219476|SRID=4326;POINT(-77.0320012 -12.1219476)
520|-77.040056|-12.1186452|SRID=4326;POINT(-77.040056 -12.1186452)
521|-77.0398319|-12.1187506|SRID=4326;POINT(-77.0398319 -12.1187506)
522|-77.0389747|-12.1179099|SRID=4326;POINT(-77.0389747 -12.1179099)
523|-77.0397301|-12.1189447|SRID=4326;POINT(-77.0397301 -12.1189447)
1014|-77.0181645|-12.1243951|SRID=4326;POINT(-77.0181645 -12.1243951)
1015|-77.0217673|-12.1227989|SRID=4326;POINT(-77.0217673 -12.1227989)
599|-77.0486798|-12.1131214|SRID=4326;POINT(-77.0486798 -12.1131214)
1017|-77.0366715|-12.126076|SRID=4326;POINT(-77.0366715 -12.126076)
528|-77.0325001|-12.1214793|SRID=4326;POINT(-77.0325001 -12.1214793)
529|-77.0326734|-12.1213224|SRID=4326;POINT(-77.0326734 -12.1213224)
994|-77.0096896|-12.1282613|SRID=4326;POINT(-77.0096896 -12.1282613)
1013|-77.0176674|-12.1295991|SRID=4326;POINT(-77.0176674 -12.1295991)
1234|-77.0013802|-12.1284365|SRID=4326;POINT(-77.0013802 -12.1284365)
1025|-77.0303285|-12.1191726|SRID=4326;POINT(-77.0303285 -12.1191726)
449|-77.030873|-12.1071549|SRID=4326;POINT(-77.030873 -12.1071549)
448|-77.0298392|-12.1069921|SRID=4326;POINT(-77.0298392 -12.1069921)
1230|-77.0015856|-12.1288579|SRID=4326;POINT(-77.0015856 -12.1288579)
1231|-77.0372806|-12.1100895|SRID=4326;POINT(-77.0372806 -12.1100895)
1232|-77.0368038|-12.1107182|SRID=4326;POINT(-77.0368038 -12.1107182)
1233|-77.0370415|-12.1168838|SRID=4326;POINT(-77.0370415 -12.1168838)
443|-77.0276667|-12.1045916|SRID=4326;POINT(-77.0276667 -12.1045916)
442|-77.0280594|-12.1046199|SRID=4326;POINT(-77.0280594 -12.1046199)
441|-77.0288977|-12.1047573|SRID=4326;POINT(-77.0288977 -12.1047573)
440|-77.0292902|-12.1048328|SRID=4326;POINT(-77.0292902 -12.1048328)
447|-77.0276495|-12.1054477|SRID=4326;POINT(-77.0276495 -12.1054477)
446|-77.0280476|-12.1055031|SRID=4326;POINT(-77.0280476 -12.1055031)
445|-77.0287529|-12.1056257|SRID=4326;POINT(-77.0287529 -12.1056257)
444|-77.0291454|-12.1056756|SRID=4326;POINT(-77.0291454 -12.1056756)
108|-77.0251387|-12.1277213|SRID=4326;POINT(-77.0251387 -12.1277213)
109|-77.0240642|-12.1281777|SRID=4326;POINT(-77.0240642 -12.1281777)
1135|-77.0371501|-12.1249857|SRID=4326;POINT(-77.0371501 -12.1249857)
102|-77.0305278|-12.1255409|SRID=4326;POINT(-77.0305278 -12.1255409)
103|-77.029461|-12.1259848|SRID=4326;POINT(-77.029461 -12.1259848)
100|-77.033181|-12.1291814|SRID=4326;POINT(-77.033181 -12.1291814)
101|-77.0327503|-12.1246868|SRID=4326;POINT(-77.0327503 -12.1246868)
106|-77.0260063|-12.1273604|SRID=4326;POINT(-77.0260063 -12.1273604)
107|-77.0256537|-12.1275115|SRID=4326;POINT(-77.0256537 -12.1275115)
104|-77.028014|-12.1265549|SRID=4326;POINT(-77.028014 -12.1265549)
105|-77.0269481|-12.1269975|SRID=4326;POINT(-77.0269481 -12.1269975)
902|-77.0019056|-12.1278982|SRID=4326;POINT(-77.0019056 -12.1278982)
903|-77.0036326|-12.1278945|SRID=4326;POINT(-77.0036326 -12.1278945)
39|-77.0480908|-12.1156185|SRID=4326;POINT(-77.0480908 -12.1156185)
38|-77.0488471|-12.1148527|SRID=4326;POINT(-77.0488471 -12.1148527)
906|-77.0034352|-12.127391|SRID=4326;POINT(-77.0034352 -12.127391)
907|-77.0052908|-12.1282002|SRID=4326;POINT(-77.0052908 -12.1282002)
904|-77.0047387|-12.1277153|SRID=4326;POINT(-77.0047387 -12.1277153)
905|-77.0052101|-12.1276445|SRID=4326;POINT(-77.0052101 -12.1276445)
33|-77.0323825|-12.1238028|SRID=4326;POINT(-77.0323825 -12.1238028)
32|-77.0318411|-12.1230669|SRID=4326;POINT(-77.0318411 -12.1230669)
31|-77.0317529|-12.1229564|SRID=4326;POINT(-77.0317529 -12.1229564)
30|-77.031327|-12.1224575|SRID=4326;POINT(-77.031327 -12.1224575)
37|-77.0490532|-12.1138419|SRID=4326;POINT(-77.0490532 -12.1138419)
36|-77.0491072|-12.1134881|SRID=4326;POINT(-77.0491072 -12.1134881)
35|-77.0514552|-12.1117138|SRID=4326;POINT(-77.0514552 -12.1117138)
34|-77.0515211|-12.1102338|SRID=4326;POINT(-77.0515211 -12.1102338)
641|-77.0267936|-12.122231|SRID=4326;POINT(-77.0267936 -12.122231)
640|-77.0284755|-12.1223709|SRID=4326;POINT(-77.0284755 -12.1223709)
643|-77.0254203|-12.1212714|SRID=4326;POINT(-77.0254203 -12.1212714)
642|-77.0252315|-12.122077|SRID=4326;POINT(-77.0252315 -12.122077)
645|-77.0283639|-12.1214226|SRID=4326;POINT(-77.0283639 -12.1214226)
644|-77.0267593|-12.1214254|SRID=4326;POINT(-77.0267593 -12.1214254)
438|-77.0424499|-12.1115655|SRID=4326;POINT(-77.0424499 -12.1115655)
439|-77.0397788|-12.1090549|SRID=4326;POINT(-77.0397788 -12.1090549)
436|-77.038059|-12.1154932|SRID=4326;POINT(-77.038059 -12.1154932)
437|-77.0380378|-12.1131884|SRID=4326;POINT(-77.0380378 -12.1131884)
434|-77.0380852|-12.1171146|SRID=4326;POINT(-77.0380852 -12.1171146)
435|-77.0380666|-12.116206|SRID=4326;POINT(-77.0380666 -12.116206)
432|-77.0381091|-12.1189456|SRID=4326;POINT(-77.0381091 -12.1189456)
