"ITEM","UBICACIÓN","SARDINEL (ml)","NIVELACION GRASS BLOCK (m2)","GRASS BLOCK (m2)","ADOQUIN VEREDA (m2)","NIVELACION ADOQUIN (m2)","BERMA (m2)","RAMPA (m2)","RAMPA DE INGRESO PEATONAL (m2)","RAMPA VEHICULAR (m2)","CONCRETO DE VEREDA (m2)","CONCRETO EN PISTAS(m2)","ADOQUIN PISTA (m2)","ASFALTO (m2)","EMPEDRADO (ml)","FISURA (ml)","GEOTEXTIL GEOMALLA (m2)","BANCA (Und)","BOLARDO (Und)","TACHO (Und)","MALLA (ml)"
"113","Ca. Juan de la Fuente","-","-","-","-","-","26.00","-","-","-","84.70","-","-","-","-","-","-","-","-","-","-"
"114","Ca. Juan Fanning","9.90","-","-","-","-","3.50","-","-","-","4.50","-","-","82.64","3.50","-","-","-","-","-","-"
"115","Ca. Juana Alarco de Dammert","18.00","","","","","","","","","","","","","","","","","","",""
"116","Ca. Julio Becerra","-","-","-","-","-","-","3.78","-","-","-","-","-","-","-","-","-","-","-","-","-"
"117","Ca. Julio C. Tello","12.40","-","-","-","-","21.85","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"118","Ca. Junín","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"119","Ca. Larco Herrera","-","-","-","-","-","-","-","-","1.05","1.00","-","-","-","-","-","-","-","-","-","-"
"120","Ca. Las Acacias","-","-","-","-","-","9.75","-","-","-","72.00","-","-","-","-","-","-","-","-","-","-"
"121","Ca. Las Fresas","8.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"122","Ca. Leónidas Alvendaño","16.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"123","Ca. Lino Alarco","-","-","-","-","-","-","6.84","-","-","-","-","-","-","-","-","-","-","-","-","-"
"124","Ca. Lola Pardo","-","-","-","-","-","-","-","-","-","-","6.00","-","-","-","-","-","-","-","-","-"
"125","Ca. Lord Cochrane","-","-","-","-","-","70.20","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"126","Ca. Los Capulíes","-","-","-","-","-","12.00","-","-","-","16.50","-","-","-","-","-","-","-","-","-","-"
"127","Ca. Madrid","9.00","-","-","-","-","25.00","-","-","-","15.00","-","-","-","-","-","-","-","-","-","-"
"128","Ca. Manco Cápac","8.00","-","-","-","-","-","-","-","-","70.00","-","-","13.50","-","-","-","-","-","-","-"
"129","Ca. Manuel Bonilla","","","","","1.20","","","","","","","","","","","","3.00","75.00","",""
"130","Ca. Manuel Olaechea","-","-","-","-","-","-","-","-","-","-","18.00","-","-","-","-","-","-","-","-","-"
"131","Ca. Manuel Tovar","78.00","8.46","","","","11.25","42.31","","","","","","7.20","","","","","","",""
"132","Ca. Mariano Melgar","-","-","-","-","-","-","-","-","-","-","-","-","8.52","-","-","-","-","-","-","-"
"133","Ca. Mariano Odicio","-","-","-","-","-","-","-","-","-","-","-","-","7.76","-","-","-","-","-","-","-"
"134","Ca. Mariscal Sucre","-","-","-","-","-","35.00","-","-","-","22.75","-","-","-","-","-","-","-","-","-","-"
"135","Ca. Melitón Porras","-","-","-","-","-","103.00","8.19","-","-","-","-","-","-","-","-","-","-","-","-","-"
"136","Ca. Narciso de la Colina","2.20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"137","Ca. Ocharán","-","-","-","-","-","-","-","-","-","5.80","-","-","-","-","-","-","-","-","-","-"
"138","Ca. Ortiz de Zevallos","","","","","","13.75","","","","34.00","8.75","","","","","","","","",""
"139","Ca. Pedro Garezón","-","-","-","-","-","-","-","-","-","-","-","-","82.00","","409.00","-","-","-","-","-"
"140","Ca. Pedro Venturo","53.00","-","-","-","-","-","2.21","-","-","2.00","-","-","-","-","-","-","-","-","-","-"
"141","Ca. Percy Phillips","14.00","-","-","-","-","-","-","-","-","-","6.00","-","-","-","-","-","-","-","-","-"
"142","Ca. Piura","-","-","-","-","-","38.50","16.50","-","-","-","-","-","48.63","-","-","-","-","5.00","-","-"
"143","Ca. Porta","-","-","-","-","-","-","-","-","-","0.32","-","-","203.70","-","-","-","-","-","-","-"
"144","Ca. Prolongación Arenales","-","-","-","-","-","-","-","-","-","","-","-","10.08","-","-","-","-","-","-","-"
"145","Ca. Ramón Ribeyro","-","-","-","-","-","-","-","4.80","-","16.00","-","-","80.15","-","-","-","-","-","-","-"
"146","Ca. Ramón Zavala","-","-","-","-","-","-","-","0.96","4.00","-","-","-","-","-","-","-","-","-","-","-"
"147","Ca. Raúl Vera Collahuazo","12.20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"148","Ca. Recavarren","-","-","-","-","4.00","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"149","Ca. Roma","-","-","-","-","-","6.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"150","Ca. Rosario","-","-","-","-","-","-","-","-","-","-","-","-","7.32","-","-","-","-","-","-","-"
"151","Ca. Salaverry","","","","","","","","","8.00","20.00","","","139.00","","","","","","",""
"152","Ca. Salvador Gutiérrez","3.00","-","-","-","-","-","-","-","-","31.20","-","-","19.56","-","-","-","-","-","-","-"
"153","Ca. Samuel Márquez","23.00","-","-","-","7.00","80.25","-","1.80","10.11","125.00","-","-","-","-","-","-","-","-","-","-"
"154","Ca. San Fernando","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"155","Ca. San Martin","14.50","-","11.34","-","-","123.00","-","-","-","10.45","-","-","21.62","-","-","-","-","-","-","-"
"156","Ca. Santiago Figueredo","-","-","-","-","-","","","","5.00","49.50","-","-","-","-","-","-","-","-","-","-"
"157","Ca. Santillana","52.50","-","-","-","-","120.50","-","-","3.15","222.96","-","-","16.50","-","-","-","-","-","-","-"
"158","Ca. Schell","","","","11.09","9.80","","","","","","","","41.00","","","","1.00","16.00","",""
"159","Ca. Scipión Llona","2.50","","","","","12.50","","","","","22.08","","","","","","","","",""
"160","Ca. Sevilla","12.00","-","-","-","-","-","-","-","-","6.80","-","-","115.00","-","-","-","-","-","-","-"
"161","Ca. Sucre","-","-","-","-","-","-","-","-","-","-","-","-","4.08","-","-","-","-","-","-","-"
"162","Ca. Tacna","-","-","-","-","-","-","-","-","-","-","-","-","7.68","-","-","-","-","-","-","-"
"163","Ca. Tarapacá","10.90","-","-","-","-","-","-","-","2.60","10.00","-","-","-","-","-","-","-","-","-","-"
"164","Ca. Tejada","-","-","-","-","-","-","-","-","-","-","-","-","62.00","-","-","-","-","-","-","-"
"165","Ca. Toribio Polo","-","-","-","-","7.92","-","-","-","-","7.00","-","-","-","-","-","-","-","-","-","-"
"166","Ca. Triana","","","","","9.40","","6.82","","","","","","","","","","","","",""
"167","Ca. Trípoli","81.50","-","-","-","-","-","-","-","7.00","-","-","-","-","-","-","-","-","-","-","-"
"168","Ca. Túpac Amaru","-","-","-","-","-","-","-","-","-","-","-","-","23.00","-","-","-","-","-","-","-"
"169","Ca. Vanderghen","","","","","","32.25","","","","","","","","","","","","","",""
"170","Ca. Vargas Machuca","41.00","-","-","-","-","58.92","72.20","3.60","-","170.20","36.00","-","","-","-","-","-","-","-","-"
"171","Ca. Víctor Maldonado","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"172","Ca. Víctor Maurtua","47.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"173","Centro Promotor Club Tenis","137.00","-","-","102.28","12.44","42.00","8.40","-","24.00","125.25","3.00","-","237.40","-","80.00","-","18.00","-","-","-"
"174","Circuito de Playas","-","-","-","-","-","-","-","-","-","-","-","-","415.50","-","-","-","-","-","-","209.00"
"175","Colegio Especial Marsano","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18.00","-","-","-","-","-"
"176","Estadio Bonilla","369.00","-","-","6.20","10.00","-","-","-","-","-","-","-","-","19.00","-","-","-","-","-","40.00"
"177","Local Aurora","-","-","-","36.90","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"178","Local La Quinta","-","-","-","-","-","-","3.00","18.90","-","-","-","-","-","-","-","-","-","-","-","-"
"179","Óvalo Bolognesi","3.80","-","-","-","-","-","21.60","7.02","-","62.95","-","-","37.44","-","-","-","-","-","-","-"
"180","Óvalo Central","200.40","-","-","289.22","-","-","-","-","-","0.90","-","-","157.50","21.00","-","-","-","-","-","-"
"181","Óvalo Centroamérica","32.50","-","-","-","-","-","13.32","-","-","-","-","-","-","-","-","-","-","-","-","-"
"182","Óvalo Gutiérrez","-","-","-","-","-","-","","-","-","-","-","-","3.24","-","-","-","-","-","-","-"
"183","Óvalo Morales Barros","-","-","-","-","-","-","16.74","-","-","-","-","-","-","-","-","-","-","-","-","-"
"184","Óvalo Villarreal","-","-","-","-","-","-","-","-","-","-","-","-","5.40","-","-","-","-","-","-","-"
"185","Palacio Municipal","-","-","-","5.70","-","-","-","-","-","8.00","-","-","-","-","-","-","-","-","-","-"
"186","Parque A. Leguía","69.45","","22.70","","-","-","-","-","-","","-","-","-","-","-","-","36.00","-","-","-"
"187","Parque Baden Powell","-","-","-","-","-","-","-","-","-","24.00","-","-","-","-","-","-","-","-","-","-"
"188","Parque Bolognesi","-","-","-","-","-","-","-","-","-","5.00","-","-","-","-","-","-","-","-","-","-"
"189","Parque Carossio","-","-","-","-","-","-","-","-","-","2.00","-","-","-","9.00","-","-","2.00","-","-","-"
"190","Parque Central","59.80","-","-","188.90","46.04","-","-","-","-","-","-","-","-","","-","-","-","-","-","-"
"191","Parque Chino Vásquez","-","-","-","-","-","-","-","-","-","-","-","-","-","11.00","-","-","-","-","-","-"
"192","Parque Clorinda Mattos de Turner","32.36","-","-","11.50","-","-","-","-","-","6.34","-","-","-","-","-","-","1.00","-","-","-"
"193","Parque del Amor","-","-","-","-","","-","-","-","-","-","-","-","12.00","","18.00","-","-","-","-","-"
"194","Parque del Libro","-","-","-","-","10.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"195","Parque Domodossola","","","","","","","","","","18.00","","","","","","","","","",""
